bezahlen/to pay
das Büro/office
das Gehalt/salary
das Geld/money
das Hemd/shirt
das Konto/account
das Netzwerk/network
das Produkt/product
das Unternehmen/company
das Wachstum/growth
der Anruf/call
der Anzug/suit
der Arbeiter/worker
der Arbeitgeber/employer
der Arbeitnehmer/employee
der Auftrag/order
der Beruf/profession
der Brief/letter
der Briefumschlag/envelope
der Chef/boss
der Drucker/printer
der Gewinn/profit
der Kollege/colleague
der Kredit/loan
der Kunde/customer
der Lebenslauf/CV / resume
der Preis/price
der Schreibtisch/desk
der Termin/appointment
der Umsatz/sales / turnover
der Verlust/loss
der Vertrag/contract
der Wert/value
die Arbeit/work
die Bank/bank
die Bewerbung/job application
die Dienstleistung/service
die Industrie/industry
die Karriere/career
die Krawatte/tie
die Marke/brand
die Möglichkeit/opportunity
die Nachfrage/demand
die Steuer/tax
die Versicherung/insurance
die Währung/currency
die Zahlung/payment
kaufen/to buy
präsentieren/to present
verdienen/to earn
verhandeln/to negotiate
verkaufen/to sell
