das Kind/child
der Bruder/brother
der Cousin/cousin
der Ehefrau/wife
der Enkel/grandchild
der Enkelsohn/grandson
der Großvater/grandfather
der Neffe/nephew
der Onkel/uncle
der Opa/grandpa
der Schwager/brother-in-law
der Schwiegersohn/son-in-law
der Schwiegervater/father-in-law
der Sohn/son
der Vater/father
der Verlobte/fiancé
die Cousine/cousin (female)
die Ehemann/husband
die Eltern/parents
die Enkeltochter/granddaughter
die Familie/family
die Großmutter/grandmother
die Mutter/mother
die Nichte/niece
die Oma/grandma
die Schwester/sister
die Schwiegermutter/mother-in-law
die Schwiegertochter/daughter-in-law
die Schwägerin/sister-in-law
die Tante/aunt
die Tochter/daughter
die Verlobte/fiancée
